EQUIPE,RODADA,JOGADOR,POSIÇÃO,PONTUAÇÃO,CAPITÃO,TIME
Gigante de JF,RODADA 33,RICHARD,GOLEIRO,-4.20,NÃO,CEARÁ
Gigante de JF,RODADA 33,CALEGARI,LATERAL,5.80,NÃO,FLUMINENSE
Gigante de JF,RODADA 33,GUILHERME ARANA,LATERAL,12.60,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 33,LUCCAS CLARO,ZAGUEIRO,5.60,NÃO,FLUMINENSE
Gigante de JF,RODADA 33,JÚNIOR ALONSO,ZAGUEIRO,4.60,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 33,EDENÍLSON,MEIA,9.80,NÃO,INTERNACIONAL
Gigante de JF,RODADA 33,HYORAN,MEIA,6.70,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 33,VINA,MEIA,8.00,SIM,CEARÁ
Gigante de JF,RODADA 33,EDUARDO SASHA,ATACANTE,1.80,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 33,CANO,ATACANTE,1.50,NÃO,VASCO
Gigante de JF,RODADA 33,YURI ALBERTO,ATACANTE,-0.20,NÃO,INTERNACIONAL
Gigante de JF,RODADA 33,GUTO FERREIRA,TÉCNICO,2.41,NÃO,CEARÁ
Gigante de JF,RODADA 32,JEAN,GOLEIRO,23.20,NÃO,ATLÉTICO GOIANIENSE
Gigante de JF,RODADA 32,CALEGARI,LATERAL,5.40,NÃO,FLUMINENSE
Gigante de JF,RODADA 32,FÁBIO SANTOS,LATERAL,1.40,NÃO,CORINTHIANS
Gigante de JF,RODADA 32,LUCCAS CLARO,ZAGUEIRO,6.00,NÃO,FLUMINENSE
Gigante de JF,RODADA 32,LUAN PERES,ZAGUEIRO,0.70,NÃO,SANTOS
Gigante de JF,RODADA 32,CAZARES,MEIA,1.20,NÃO,CORINTHIANS
Gigante de JF,RODADA 32,EVERTON RIBEIRO,MEIA,0.80,NÃO,FLAMENGO
Gigante de JF,RODADA 32,HYORAN,MEIA,11.40,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 32,GUSTAVO MOSQUITO,ATACANTE,2.00,NÃO,CORINTHIANS
Gigante de JF,RODADA 32,LUCIANO,ATACANTE,6.50,NÃO,SÃO PAULO
Gigante de JF,RODADA 32,MARINHO,ATACANTE,30.20,SIM,SANTOS
Gigante de JF,RODADA 32,VAGNER MANCINI,TÉCNICO,1.11,NÃO,CORINTHIANS
Gigante de JF,RODADA 31,WEVERTON,GOLEIRO,3.10,NÃO,PALMEIRAS
Gigante de JF,RODADA 31,ISLA,LATERAL,4.30,NÃO,FLAMENGO
Gigante de JF,RODADA 31,FÁBIO SANTOS,LATERAL,5.80,NÃO,CORINTHIANS
Gigante de JF,RODADA 31,JEMERSON,ZAGUEIRO,6.60,NÃO,CORINTHIANS
Gigante de JF,RODADA 31,LÉO ORTIZ,ZAGUEIRO,3.50,NÃO,BRAGANTINO
Gigante de JF,RODADA 31,RAPHAEL VEIGA,MEIA,-1.00,NÃO,PALMEIRAS
Gigante de JF,RODADA 31,VINA,MEIA,25.40,NÃO,CEARÁ
Gigante de JF,RODADA 31,CAZARES,MEIA,7.70,NÃO,CORINTHIANS
Gigante de JF,RODADA 31,DIEGO SOUZA,ATACANTE,-0.10,NÃO,GRÊMIO
Gigante de JF,RODADA 31,CLAUDINHO,ATACANTE,46.40,SIM,BRAGANTINO
Gigante de JF,RODADA 31,LUIZ ADRIANO,ATACANTE,1.90,NÃO,PALMEIRAS
Gigante de JF,RODADA 31,VAGNER MANCINI,TÉCNICO,7.94,NÃO,CORINTHIANS
Gigante de JF,RODADA 30,VLADIMIR,GOLEIRO,1.80,NÃO,SANTOS
Gigante de JF,RODADA 30,SAMUEL XAVIER,LATERAL,0.80,NÃO,CEARÁ
Gigante de JF,RODADA 30,CALEGARI,LATERAL,7.40,NÃO,FLUMINENSE
Gigante de JF,RODADA 30,RÉVER,ZAGUEIRO,-0.20,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 30,VÍCTOR CUESTA,ZAGUEIRO,3.80,NÃO,INTERNACIONAL
Gigante de JF,RODADA 30,HYORAN,MEIA,12.80,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 30,DIEGO PITUCA,MEIA,8.60,NÃO,SANTOS
Gigante de JF,RODADA 30,VINA,MEIA,-0.30,NÃO,CEARÁ
Gigante de JF,RODADA 30,MARINHO,ATACANTE,24.40,SIM,SANTOS
Gigante de JF,RODADA 30,KAIO JORGE,ATACANTE,0.70,NÃO,SANTOS
Gigante de JF,RODADA 30,CANO,ATACANTE,3.80,NÃO,VASCO
Gigante de JF,RODADA 30,GLAUBER RAMOS,TÉCNICO,0.30,NÃO,GOIÁS
Gigante de JF,RODADA 29,JEAN,GOLEIRO,5.10,NÃO,ATLÉTICO GOIANIENSE
Gigante de JF,RODADA 29,GUILHERME ARANA,LATERAL,9.80,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 29,FILIPE LUÍS,LATERAL,-0.20,NÃO,FLAMENGO
Gigante de JF,RODADA 29,NATAN,ZAGUEIRO,0.00,NÃO,FLAMENGO
Gigante de JF,RODADA 29,DAVID BRAZ,ZAGUEIRO,0.00,NÃO,GRÊMIO
Gigante de JF,RODADA 29,GABRIEL SARA,MEIA,5.60,NÃO,SÃO PAULO
Gigante de JF,RODADA 29,EVERTON RIBEIRO,MEIA,2.20,NÃO,FLAMENGO
Gigante de JF,RODADA 29,THIAGO GALHARDO,MEIA,1.20,NÃO,INTERNACIONAL
Gigante de JF,RODADA 29,BRUNO HENRIQUE,ATACANTE,1.60,NÃO,FLAMENGO
Gigante de JF,RODADA 29,BRENNER,ATACANTE,9.60,SIM,SÃO PAULO
Gigante de JF,RODADA 29,VARGAS,ATACANTE,4.00,NÃO,ATLÉTICO MINEIRO
Gigante de JF,RODADA 29,FERNANDO DINIZ,TÉCNICO,1.78,NÃO,SÃO PAULO
