RODADA,TIME,PONTUAÇÃO,CAPITÃO
RODADA 5,Unichampions,16.54,-2.20
RODADA 27,Unichampions,20.87,-2.60
RODADA 8,Unichampions,21.13,-0.10
RODADA 6,Unichampions,22.35,-0.30
RODADA 1,Unichampions,23.21,0.00
RODADA 16,Unichampions,23.92,6.70
RODADA 10,Unichampions,25.87,2.50
RODADA 32,Unichampions,29.92,3.30
RODADA 30,Unichampions,30.75,3.80
RODADA 14,Unichampions,34.53,7.00
RODADA 22,Unichampions,37.06,2.20
RODADA 29,Unichampions,37.58,1.20
RODADA 2,Unichampions,37.61,-2.10
RODADA 26,Unichampions,40.07,1.80
RODADA 13,Unichampions,43.01,1.60
RODADA 7,Unichampions,43.44,9.20
RODADA 4,Unichampions,47.02,7.10
RODADA 3,Unichampions,48.05,9.30
RODADA 19,Unichampions,51.17,14.30
RODADA 17,Unichampions,51.41,7.40
RODADA 11,Unichampions,55.75,4.30
RODADA 21,Unichampions,65.48,18.30
RODADA 25,Unichampions,67.27,14.20
RODADA 12,Unichampions,68.13,9.90
RODADA 28,Unichampions,69.25,8.30
RODADA 20,Unichampions,71.31,12.70
RODADA 9,Unichampions,71.56,7.60
RODADA 24,Unichampions,78.2,9.00
RODADA 18,Unichampions,83.59,6.50
RODADA 23,Unichampions,87.04,18.20
RODADA 15,Unichampions,88.55,21.10
RODADA 31,Unichampions,96.32,23.20
RODADA 26,Gigante de JF,15.87,-4.90
RODADA 2,Gigante de JF,23.67,1.50
RODADA 4,Gigante de JF,27.13,1.60
RODADA 28,Gigante de JF,28.27,2.30
RODADA 1,Gigante de JF,31.93,0.00
RODADA 6,Gigante de JF,32.88,6.90
RODADA 5,Gigante de JF,37.18,0.60
RODADA 7,Gigante de JF,37.78,0.70
RODADA 29,Gigante de JF,40.68,4.80
RODADA 22,Gigante de JF,44.16,3.00
RODADA 21,Gigante de JF,46.12,5.00
RODADA 16,Gigante de JF,50.85,2.90
RODADA 20,Gigante de JF,52.38,12.70
RODADA 25,Gigante de JF,53.97,0.00
RODADA 10,Gigante de JF,55.07,1.50
RODADA 11,Gigante de JF,59.97,0.60
RODADA 19,Gigante de JF,62.95,14.30
RODADA 30,Gigante de JF,63.9,12.20
RODADA 3,Gigante de JF,66.58,0.00
RODADA 13,Gigante de JF,71.9,9.90
RODADA 8,Gigante de JF,77.38,8.90
RODADA 17,Gigante de JF,78.09,16.50
RODADA 27,Gigante de JF,78.17,13.10
RODADA 23,Gigante de JF,78.42,18.20
RODADA 12,Gigante de JF,79.55,5.20
RODADA 9,Gigante de JF,79.67,10.30
RODADA 18,Gigante de JF,81.99,6.50
RODADA 15,Gigante de JF,82.29,9.90
RODADA 32,Gigante de JF,89.91,15.10
RODADA 24,Gigante de JF,90.93,12.00
RODADA 14,Gigante de JF,94.06,18.10
RODADA 31,Gigante de JF,111.54,23.20
RODADA 22,Vanculotte Atiantino,20.28,-1.30
RODADA 10,Vanculotte Atiantino,20.32,-1.60
RODADA 16,Vanculotte Atiantino,23.04,0.00
RODADA 5,Vanculotte Atiantino,24.98,2.90
RODADA 2,Vanculotte Atiantino,28.66,1.50
